Category,Resume
Data Scientist,"Experienced Data Scientist with 4 years in Python, machine learning, TensorFlow, PyTorch, Pandas, NumPy, SQL, data visualization. Developed predictive models and NLP pipelines. B.Sc Statistics."
Data Scientist,"Data Science professional skilled in scikit-learn, XGBoost, deep learning, feature engineering, model deployment, MLOps, AWS SageMaker, Tableau, Power BI."
Data Scientist,"Machine learning engineer with expertise in computer vision, NLP, BERT, GPT, data science, statistical analysis, A/B testing, Python, R, Spark, Databricks."
Data Scientist,"Quantitative analyst with strong background in machine learning, Python, R, SAS, time series forecasting, natural language processing, Jupyter, Airflow."
Data Scientist,"Research scientist experienced in reinforcement learning, deep neural networks, TensorFlow, PyTorch, Keras, Python, data science, academic publishing."
Data Scientist,"ML engineer proficient in Python, scikit-learn, pandas, feature engineering, model selection, hyperparameter tuning, Docker, GitHub, AWS, data pipelines."
Web Developer,"Frontend developer with 3 years experience in React, Angular, Vue.js, HTML, CSS, JavaScript, TypeScript, responsive design, REST API integration, Bootstrap."
Web Developer,"Full-stack developer skilled in Node.js, Express, React, MongoDB, PostgreSQL, GraphQL, Docker, AWS, CI/CD, Git, Agile development methodologies."
Web Developer,"Web developer proficient in HTML5, CSS3, JavaScript, jQuery, PHP, Laravel, MySQL, WordPress, UI/UX design, cross-browser compatibility."
Web Developer,"Frontend engineer with expertise in Next.js, Gatsby, TypeScript, TailwindCSS, Webpack, accessibility standards, performance optimization, SEO."
Web Developer,"Backend developer experienced in Django, Flask, FastAPI, PostgreSQL, Redis, Docker, Kubernetes, Nginx, REST API, microservices architecture."
Web Developer,"MERN stack developer with skills in MongoDB, Express, React, Node.js, Redux, JWT authentication, GraphQL, Heroku, Netlify deployment."
Java Developer,"Java backend developer with 5 years experience in Spring Boot, Hibernate, Maven, Gradle, REST APIs, microservices, Oracle DB, JUnit testing."
Java Developer,"Software engineer specializing in Java, Spring Framework, Spring Security, JPA, MySQL, Docker, Kubernetes, design patterns, SOLID principles."
Java Developer,"Senior Java developer with expertise in core Java, multithreading, Spring MVC, Spring Cloud, Kafka, RabbitMQ, AWS, CI/CD pipelines."
Java Developer,"Java full-stack developer skilled in Java EE, Spring Boot, Angular, Hibernate, PostgreSQL, Redis, Jenkins, Git, code reviews, agile."
Java Developer,"Enterprise Java developer experienced in Jakarta EE, EJB, JMS, Spring Batch, Oracle, IBM WebSphere, SOAP, REST, integration patterns."
Java Developer,"Android developer with Java, Kotlin, Android SDK, MVVM, Retrofit, Room, Firebase, Play Store deployment, unit testing, Git."
Python Developer,"Python developer with expertise in Flask, Django, FastAPI, SQLAlchemy, PostgreSQL, Redis, Celery, Docker, REST API development."
Python Developer,"Backend Python engineer skilled in Django REST Framework, Pytest, SQLite, Redis, AWS Lambda, serverless architecture, Git."
Python Developer,"Python automation engineer with experience in Selenium, BeautifulSoup, Scrapy, Pandas, data pipelines, scripting, Linux, Bash."
Python Developer,"Python developer proficient in Flask, Jinja2, SQLAlchemy, MySQL, JavaScript, HTML, CSS, deployment on AWS and Heroku."
Python Developer,"Software developer with Python, FastAPI, async programming, Redis, PostgreSQL, Docker, microservices, Pydantic, testing frameworks."
Python Developer,"Scientific Python developer with NumPy, SciPy, Matplotlib, Jupyter Notebooks, data analysis, signal processing, research background."
HR,"HR professional with 6 years experience in talent acquisition, recruitment, onboarding, HRIS, payroll, performance management, employee relations."
HR,"Human Resources manager skilled in strategic HR planning, compensation benchmarking, learning and development, workforce analytics, Workday, SAP SuccessFactors."
HR,"Recruiter with expertise in full-cycle recruiting, LinkedIn sourcing, job descriptions, ATS systems, behavioral interviews, diversity hiring initiatives."
HR,"HR business partner experienced in organizational development, change management, employee engagement surveys, conflict resolution, HR policies."
HR,"Talent acquisition specialist with sourcing, screening, technical interviews, offer management, recruitment metrics, employer branding, Greenhouse ATS."
HR,"People operations manager skilled in HR analytics, compensation bands, benefits administration, DEI programs, culture building, Bamboo HR."
AI Engineer,"AI engineer with expertise in large language models, LLM fine-tuning, RAG, LangChain, OpenAI API, vector databases, Python, MLOps."
AI Engineer,"Machine learning engineer specializing in generative AI, stable diffusion, GPT models, transformer architectures, RLHF, Hugging Face, PyTorch."
AI Engineer,"AI researcher with background in computer vision, object detection, YOLO, image segmentation, PyTorch, CUDA, GPU optimization, research papers."
AI Engineer,"NLP engineer skilled in text classification, named entity recognition, BERT, T5, spaCy, NLTK, Python, model deployment, FastAPI, Docker."
AI Engineer,"Conversational AI developer with experience in chatbots, Rasa, Dialogflow, GPT-4, speech recognition, TTS, NLU, REST APIs."
AI Engineer,"Deep learning engineer with TensorFlow, Keras, PyTorch, CNN, RNN, LSTM, attention mechanisms, model compression, edge AI deployment."
Data Scientist,"Business intelligence analyst skilled in Python, SQL, Tableau, Power BI, ETL pipelines, data warehousing, KPI dashboards, stakeholder reporting."
Web Developer,"UI/UX developer with Figma, Adobe XD, React, CSS animations, micro-interactions, user research, A/B testing, accessibility WCAG 2.1."
Java Developer,"Cloud Java developer with Spring Boot, AWS SDK, DynamoDB, Lambda, API Gateway, S3, IAM, CloudFormation, DevOps practices."
Python Developer,"DevOps Python engineer with Ansible, Terraform, Python scripts, AWS, monitoring with Prometheus, Grafana, logging ELK stack."
AI Engineer,"AI product engineer with experience building AI-powered SaaS applications, GPT integration, prompt engineering, vector search, Pinecone, Weaviate."
Data Scientist,"Data engineer with experience in Apache Spark, Kafka, Flink, Hadoop, Hive, data lakes, dbt, Snowflake, data quality frameworks."
Web Developer,"E-commerce developer skilled in Shopify, WooCommerce, Magento, PHP, JavaScript, payment gateways, SEO, performance optimization."
Java Developer,"Fintech Java developer with Spring Boot, Kafka, PostgreSQL, microservices, PCI DSS compliance, REST APIs, high-frequency trading systems."
